a:5,m:17,c:27,x:31

00000000000000000000000000001100	12
00000000000000000000000000000010	2
00000000000000000000000000000011	3
00000000000000000000000000001000	8
00000000000000000000000000010000	16
00000000000000000000000000000101	5
00000000000000000000000000000001	1
00000000000000000000000000001111	15
00000000000000000000000000000000	0
00000000000000000000000000001010	10
00000000000000000000000000001001	9
00000000000000000000000000000100	4
00000000000000000000000000001101	13
00000000000000000000000000000111	7
00000000000000000000000000001011	11
00000000000000000000000000001110	14
00000000000000000000000000001100	12
00000000000000000000000000000010	2
00000000000000000000000000000011	3
00000000000000000000000000001000	8
00000000000000000000000000010000	16
00000000000000000000000000000101	5
00000000000000000000000000000001	1
00000000000000000000000000001111	15
00000000000000000000000000000000	0
00000000000000000000000000001010	10
00000000000000000000000000001001	9
00000000000000000000000000000100	4
00000000000000000000000000001101	13
00000000000000000000000000000111	7
00000000000000000000000000001011	11
00000000000000000000000000001110	14
00000000000000000000000000001100	12
00000000000000000000000000000010	2
00000000000000000000000000000011	3
00000000000000000000000000001000	8
00000000000000000000000000010000	16
00000000000000000000000000000101	5
00000000000000000000000000000001	1
00000000000000000000000000001111	15
00000000000000000000000000000000	0
00000000000000000000000000001010	10
00000000000000000000000000001001	9
00000000000000000000000000000100	4
00000000000000000000000000001101	13
00000000000000000000000000000111	7
00000000000000000000000000001011	11
00000000000000000000000000001110	14
00000000000000000000000000001100	12
00000000000000000000000000000010	2
00000000000000000000000000000011	3
00000000000000000000000000001000	8
00000000000000000000000000010000	16
00000000000000000000000000000101	5
00000000000000000000000000000001	1
00000000000000000000000000001111	15
00000000000000000000000000000000	0
00000000000000000000000000001010	10
00000000000000000000000000001001	9
00000000000000000000000000000100	4
00000000000000000000000000001101	13
00000000000000000000000000000111	7
00000000000000000000000000001011	11
00000000000000000000000000001110	14
00000000000000000000000000001100	12
00000000000000000000000000000010	2
00000000000000000000000000000011	3
00000000000000000000000000001000	8
00000000000000000000000000010000	16
00000000000000000000000000000101	5
00000000000000000000000000000001	1
00000000000000000000000000001111	15
00000000000000000000000000000000	0
00000000000000000000000000001010	10
00000000000000000000000000001001	9
00000000000000000000000000000100	4
00000000000000000000000000001101	13
00000000000000000000000000000111	7
00000000000000000000000000001011	11
00000000000000000000000000001110	14
00000000000000000000000000001100	12
00000000000000000000000000000010	2
00000000000000000000000000000011	3
00000000000000000000000000001000	8
00000000000000000000000000010000	16
00000000000000000000000000000101	5
00000000000000000000000000000001	1
00000000000000000000000000001111	15
00000000000000000000000000000000	0
00000000000000000000000000001010	10
00000000000000000000000000001001	9
00000000000000000000000000000100	4
00000000000000000000000000001101	13
